title,popular_rank,orign_country,summary,rating
There's Something in the Water,"3,705",Canada,"Elliot Page and Gaycation collaborator Ian Daniel shift gears with the documentary There's Something in the Water, a disturbing and, frankly, terrifying portrait of ecological and social disasters in Page's native Nova Scotia. Based on Ingrid Waldron's incendiary study, the film follows Page as she travels to rural areas of the province that are plagued by toxic fallout from industrial development. As did Waldron, the filmmakers discover that these catastrophes have been precisely placed, all in remote, low income - and very often Indigenous or Black - communities. As the filmmakers observe, your postal code determines your health. We're introduced to many courageous women. Louise, from Shelburne, gives us a tour of a neighborhood in her hometown where every house has been affected by cancer. Michele fights to protect ""A?se?k"", or Boat Harbour, once a sanctuary for Indigenous people, now plagued by toxins spewed by a pulp and paper mill. The government only began addressing this when other whiter, wealthier communities were affected. (In one stomach-churning moment, it's explained that the company went to great effort to divert the offal towards ""A?se?k"".) And a group of ""Mi?gmaq"" activists known as The Grandmothers fight to protect a river threatened by a gas company. All of it is deeply sobering and scary, but like Page and Daniel we may find solace in the bravery of their subjects, who are the kind of resourceful and compassionate people you should place your bets on. If, as Louise poignantly asks, you don't care about other people, ""What do you get up for every day?"" —Toronto International Film Festival",6.6
Monty Python Live (Mostly),"3,706",United Kingdom,"The reunion of the Monty Python team on stage for the first time in over thirty years, and for the last time ever, was the most anticipated production of 2014. Filmed on the final night of the run of ten sold out performances, live at London's O2 Arena on July 20. This movie sees the five surviving members - John Cleese, Terry Gilliam, Eric Idle, Terry Jones, and Sir Michael Palin - together with Carol Cleveland, perform many of their classic sketches and much-loved songs. The show also encompasses film inserts from Monty Python's Flying Circus (1969), Terry Gilliam's iconic animations, outrageous dance routines by an ensemble of twenty, and a fantastic live orchestra. Featuring Stephen Hawking and Professor Brian Cox, with guest appearances by Eddie Izzard and Mike Myers, the show cements the Python's reputation as the most influential comedy group of all time and, more importantly, still one of the funniest. All of the favorites, with some modern twists, are included: the Dead Parrot, the Lumberjack Song, the Spanish Inquisition, Spam, Nudge Nudge, Argument, the Four Yorkshiremen, the Bruces and with a sing-along of Always Look on the Bright Side of Life as the grand finale. This is the ultimate Monty Python show.",7.7
November 13: Attack on Paris,"3,707",France,"Documentary chronicling the terrorist attacks in Paris on November 13, 2015.",8.3
Locombians,"3,708",Colombia,"4 Colombian comedians, 4 specials. We will discover the funny way these comedians see life.",
"Boo, Bitch","3,709",United States,"In Boo Bitch, over the course of one night, a high school senior (Condor), who's lived her life safely under the radar, seizes the opportunity to change her narrative and start living an epic life, only to find out the next morning - she's a motherf*%king ghost. —Denise Petski",
Dig Two Graves,"3,710",United States,"DIG TWO GRAVES is an award winning, edge-of-your-seat, suspense thriller starring TED LEVINE (THE SILENCE OF THE LAMBS), SAMANTHA ISLER (CAPTAIN FANTASTIC) and TROY RUPTASH (30 DAYS OF NIGHT). Co-Writer/director HUNTER ADAMS' highly charged script tells the story of a young girl's obsession with the death of her brother, taking her on a nightmarish journey where she must a face a deadly proposition to bring him back. The title refers to an ancient Chinese proverb, ""When you embark on a journey of revenge, dig two graves!"" —Anonymous",5.7
Uppity: The Willy T. Ribbs Story,"3,711",United States,An in-depth profile of the life and career of Willy T. Ribbs - the controversial Black driver who shattered the color barrier of professional auto-racing and became the first Black qualifier in the storied history of the Indy 500.,7.9
Cooked,"3,712",United States,"Explored through the lenses of the four natural elements - fire, water, air and earth - COOKED is an enlightening and compelling look at the evolution of what food means to us through the history of food preparation and its universal ability to connect us. Highlighting our primal human need to cook, the series urges a return to the kitchen to reclaim our lost traditions and to forge a deeper, more meaningful connection to the ingredients and cooking techniques that we use to nourish ourselves. —Netflix",8.1
17 filles,"3,713",France,"This summer, at the port-city of Lorient in Brittany, something amazing happened. Young rebellious dreamer Camille is already eight weeks pregnant, the father of her unborn child is completely unimportant and out of the picture, nevertheless, the unripe school girl boldly decides to keep the baby. And then comes the unforeseen surprise. Camille, as the undisputed alpha-girl in class, convinces her high school friends to form an unbreakable pact and get pregnant simultaneously, raise their children together, be free, happy, and most of all, in charge of their lives. Before long, sixteen more girls will confidently take the plunge in a purposeful act of emancipation, dreaming of changing the world and courageously trying something different from their fearful parents. Is this the face of progress or is it just an unquiet and tumultuous childish curiosity? Either way, when you are an intrepid beautiful dreamer full of energy, who can really stand in your way? —Nick Riganas",6.0
"Los Briceño, una familia todo terreno","3,714",Colombia,"This is the story of ""La Chiqui"", the youngest daughter of a family of truckers. In this universe of trucks, where macho men, popular music and roadside love stories rule, ""La Chiqui"" gets pregnant. Her father kicks her out of her family home, forcing her to face a world where no one believes in her because she is a woman. However, she will manage to get ahead with her job, becoming a respected woman in her guild.",7.9
Rajma Chawal,"3,715",India,An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.,5.8
When Man falls in the swamp of his thoughts and it ends with him to a disaster,"3,716",Egypt,"A beauty professional (Hani), a jihadist who recently joined an Islamic extremist group (Biboo), and a drug dealer (Samir) come across each other during a trip to Lebanon. Unintentionally, they all get captured by the extremist group which Biboo joined, and try to find a way to escape from Abu-Emad, the group's leader.",5.2
Pachamama,"3,717",France,A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.,6.8
