Title,Director,Cast
Coal Miner's Daughter,Michael Apted,"Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens, Bill Anderson Jr., Foister Dickerson, Malla McCown, Pamela McCown, Kevin Salvilla, William Sanderson, Sissy Lucas, Pat Patterson, Brian Warf, Elizabeth Watson, Beverly D'Angelo, Bob Elkins, Bob Hannah, Ernest Tubb"
Fruitvale Station,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby, Michael James, Marjorie Crump-Shears, Destiny Ekwueme, Bianca Rodriguez III, Julian Keyes, Kenny Grimm, Tommy Wright, Jemal McNeil"
10 Rillington Place,Richard Fleischer,"Richard Attenborough, Judy Geeson, John Hurt, Pat Heywood, Isobel Black, Miss Riley, Phyllis MacMahon, Ray Barron, Douglas Blackwell, Gabrielle Daye, Jimmy Gardner, Edward Evans, Tenniel Evans, David Jackson, Jack Carr, George Lee, Richard Coleman, André Morell"
The Spy Who Came in from the Cold,Martin Ritt,"Richard Burton, Oskar Werner, Claire Bloom, Sam Wanamaker, George Voskovec, Rupert Davies, Cyril Cusack, Peter van Eyck, Michael Hordern, Robert Hardy, Bernard Lee, Beatrix Lehmann, Esmond Knight, Tom Stern, Niall MacGinnis, Scot Finch, Anne Blake, George Mikell"
The Picture of Dorian Gray,Albert Lewin,"George Sanders, Hurd Hatfield, Donna Reed, Angela Lansbury, Peter Lawford, Lowell Gilmore, Richard Fraser, Douglas Walton, Morton Lowry, Miles Mander, Lydia Bilbrook, Mary Forbes, Robert Greig, Moyna MacGill, Billy Bevan, Renee Carson, Lilian Bond, Devi Dja"
Teströl És Lélekröl,Ildikó Enyedi,"Alexandra Borbély, Géza Morcsányi, Réka Tenki, Zoltán Schneider, Ervin Nagy, Itala Békés, Tamás Jordán, Éva Bata, Pál Mácsai, Zsuzsa Járó, Nóra Rainer-Micsinyei, Vivien Rujder, István Dankó, László Tóth, Júlia Nyakó, Rozi Székely, Zsófi Bódi, Attila Fritz"
The Lady from Shanghai,Orson Welles,"Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders, Ted de Corsia, Erskine Sanford, Gus Schilling, Carl Frank, Louis Merrill, Evelyn Ellis, Harry Shannon, William Alland, Jessie Arnold, Wong Artarne, Rama Bai, Jack Baxley, Steve Benton, Eumenio Blanco"
The Collector,William Wyler,"Terence Stamp, Samantha Eggar, Mona Washbourne, Maurice Dallimore, Kenneth More, Allyson Ames, Gordon Barclay, William Beckley, William Bickley, David Haviland, Edina Ronay"
The Imposter,Bart Layton,"Adam O'Brian, Nicholas Barclay, Carey Gibson, Bryan Gibson, Beverly Dollarhide, Frédéric Bourdin, Nancy Fisher, Philip French, Codey Gibson, Charlie Parker, Bruce Perry, Allie Hostetler, Kevin Hendricks, Anna Ruben, Cathy Dresbach, Alan Teichman, Ivan Villanueva, María Jesús Hoyos"
The Man Who Came to Dinner,William Keighley,"Bette Davis, Ann Sheridan, Monty Woolley, Richard Travis, Jimmy Durante, Billie Burke, Reginald Gardiner, Elisabeth Fraser, Grant Mitchell, George Barbier, Mary Wickes, Russell Arms, Ruth Vivian, Edwin Stanley, Betty Roadman, Charles Drake, Nanette Vallon, John Ridgely"
Whale Rider,Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis, Grant Roa, Mana Taumaunu, Rachel House, Taungaroa Emile, Tammy Davis, Mabel Wharekawa, Rawinia Clarke, Tahei Simpson, Roi Taimana, Elizabeth Skeen, Tyronne White, Taupua Whakataka-Brightwell, Tenia McClutchie-Mita, Peter Patuwai"
Ratcatcher,Lynne Ramsay,"Tommy Flanagan, Mandy Matthews, William Eadie, Michelle Stewart, Lynne Ramsay Jr., Leanne Mullen, John Miller, Jackie Quinn, James Ramsay, Anne McLean, Craig Bonar, Andrew McKenna, Mick Maharg, James Montgomery, Thomas McTaggart, Stewart Gordon, Stephen Sloan, Molly Innes"
Ballon,Michael Herbig,"Friedrich Mücke, Karoline Schuch, David Kross, Alicia von Rittberg, Thomas Kretschmann, Jonas Holdenrieder, Tilman Döbler, Christian Näthe, Till Patz, Ben Teichmann, Ronald Kukulies, Emily Kusche, Sebastian Hülk, Gernot Kunert, Ulrich Brandhoff, Peter Trabner, Bernd Michael Lade, Kai Ivo Baulitz"
The Phantom of the Opera,"Rupert Julian, Lon Chaney, Ernst Laemmle","Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe, Gibson Gowland, John St. Polis, Snitz Edwards, Mary Fabian, Virginia Pearson, Alma Wayne, Olive Ann Alcorn, Betty Allen, Betty Arthur, Joseph Belmont, Alexander Bevani, Earl Gordon Bostwick, Ethel Broadhurst, Edward Cecil"
Out in the Dark,Michael Mayer,"Nicholas Jacob, Michael Aloni, Jameel Khoury, Alon Pdut, Loai Nofi, Khawlah Hag-Debsy, Maysa Daw, Shimon Mimran, Moris Cohen, Tal Elimelech, Majd Bitar, Alon Oleartchik, Yossi Algim, Chelli Goldenberg, Huda Al Imam, Tony Haddad, Michael Teplitzky, Rami Kashy"
Le Souffle Au Coeur,Louis Malle,"Lea Massari, Benoît Ferreux, Daniel Gélin, Michael Lonsdale, Ave Ninchi, Gila von Weitershausen, Fabien Ferreux, Marc Winocourt, Micheline Bona, Henri Poirier, Liliane Sorval, Corinne Kersten, Eric Walter, François Werner, René Bouloc, Jacqueline Chauvaud, Jacques Gheusi, Yvon Lec"
Miss Lovely,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh, Anil George, Zeena Bhatia, Menaka Lalwani, Ragesh Asthana, Manoj Bakshi, Avinash Razdan, Premnath Gulati, Kuldeep Rajput, Alka Punewar, Juje, Jackie, Nandu Natekar, Micky Mazumdar, Aasokaa, Ravindra Bharti, Kailash Shah"
Sheytan vojud nadarad,Mohammad Rasoulof,"Baran Rasoulof, Zhila Shahi, Mahtab Servati, Mohammad Valizadegan, Pejvak Imani, Mohammad Seddighimehr, Shaghayegh Shourian, Ehsan Mirhosseini, Bardia Yadegari, Salar Khamseh, Kaveh Ahangar, Anahita Eghbalnejad, Darya Moghbeli, Pouya Mehri, Ali Balvardi, Mohammad Reza Narenji, Mohammad Sadighi Mehr, Reza Bahrami"
Like Aani Subscribe,Abhishek Merukar,"Amruta Khanvilkar, Amey Wagh, Shubhankar Tawde, Pushkaraj Chirputkar, Jui Bhagwat, Rajasi Bhave, Vitthal Kale, Gautami Patil, Shrikant Yadav, Shivraj Waichal, Jitendra Kumar, Virat Madke, Nitin Bansode, Shivraj Walvekar, Saumitra Pote, Deepti Joshi, Sesha Hindlekar, Rahul Belapurkar"
Brothers,Susanne Bier,"Ulrich Thomsen, Nikolaj Lie Kaas, Connie Nielsen, Sarah Juel Werner, Rebecca Løgstrup, Bent Mejding, Solbjørg Højfeldt, Niels Olsen, Paw Henriksen, Lars Hjortshøj, Lars Ranthe, André Babikian, Lene Maria Christensen, Laura Bro, Henrik Koefoed, Tom Mannion, Kae Bahar, Waleed Elgadi"
Yip Man 2,Wilson Yip,"Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Xiong, Kent Cheng, Darren Shahlavi, Yu-Hang To, Charles Mayer, Ka-nin Ngo, Calvin Ka-Sing Cheng, Louis Fan, Simon Yam, Christian 'Kang' Bachini, Brian Thomas Burrell, Li Chak, Ashton Chen, Hark-On Fung, Dai-Yan Jiang"
Tickled,"David Farrier, Dylan Reeve","David Farrier, Dylan Reeve, David Starr, Kevin Clarke, Adam, T.J. Gretzner, Richard Ivey, Marko Realmonte, Anne James, Alden, Hal Karp, Debbie Scoblionkov, Jordan Schillaci, Lance Roberts, David D'Amato, Romeo Salta, Dorothy J. D'Amato"
Fresh,Boaz Yakin,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson, N'Bushe Wright, Ron Brice, Jean-Claude La Marre, José Zúñiga, Luis Lantigua, Yul Vazquez, Cheryl Freeman, Anthony Thomas, Curtis McClarin, Charles Malik Whitfield, Víctor González, Guillermo Diaz, Robert Jimenez, Jerome Butler, Cortez Nance Jr."
"Hush...Hush, Sweet Charlotte",Robert Aldrich,"Bette Davis, Olivia de Havilland, Joseph Cotten, Agnes Moorehead, Cecil Kellaway, Victor Buono, Mary Astor, Wesley Addy, William Campbell, Bruce Dern, Frank Ferguson, George Kennedy, Dave Willock, Michel Petit, John Megna, Kelly Flynn, Percy Helton, Alida Aldrich"
Wuthering Heights,William Wyler,"Merle Oberon, Laurence Olivier, David Niven, Flora Robson, Donald Crisp, Geraldine Fitzgerald, Hugh Williams, Leo G. Carroll, Miles Mander, Cecil Kellaway, Cecil Humphreys, Sarita Wooton, Rex Downing, Douglas Scott, Frank Benson, Romaine Callender, Richard Clucas, Vernon Downing"
Fahrenheit 9/11,Michael Moore,"Michael Moore, George W. Bush, Ben Affleck, Stevie Wonder, James A. Baker, Richard Gephardt, Tom Daschle, Jeffrey Toobin, Al Gore, Condoleezza Rice, Donald Rumsfeld, Saddam Hussein, George Bush, Ricky Martin, Byron Dorgan, Osama bin Laden, Craig Unger, Larry King"
A Hero,Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Sahar Goldoost, Fereshteh Sadre Orafaiy, Ehsan Goodarzi, Sarina Farhadi, Maryam Shahdaei, Alireza Jahandideh, Farrokh Nourbakht, Mohammad Aghebati, Saleh Karimaei, Ali Ranjbari, Fatemeh Tavakoli, Amir Amiri, Naghameh Ghavanlou, Parisa Khajehdehi, Mohammad Jamalledini, Habib Bakhtiari"
Lazzaro felice,Alice Rohrwacher,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi, Edoardo Montalto, Carlo Massimino, Maddalena Baiocco, Gala Othero Winter, Giulia Caccavello, Elisabetta Rocchetti, Iris Pulvano, Annunziata Capretto"
Mystery Train,Jim Jarmusch,"Masatoshi Nagase, Yûki Kudô, Screamin' Jay Hawkins, Cinqué Lee, Rufus Thomas, Jodie Markell, William Hoch, Pat Hoch, Joshua Elvis Hoch, Reginald Freeman, Beverly Prye, Nicoletta Braschi, Elizabeth Bracco, Sy Richardson, Tom Noonan, Stephen Jones, Lowell Roberts, Sara Driver"
Living in Oblivion,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck, James Le Gros, Rica Martens, Peter Dinklage, Kevin Corrigan, Hilary Gilford, Robert Wightman, Tom Jarmusch, Michael Griffiths, Matthew Grace, Ryan Bowker, Francesca DiMauro, Norman Fields, Lori Tan Chinn, Vincenzo Amelia"
Children's Games,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly, Emmanuelle Grönvold, Gérard Watkins, Gilles Lellouche, Julia Faure, Laëtizia Venezia Tarnowska, Élodie Navarre, Nathalie Nattier, Robert Willar, Frédéric Geerts, Manuela Sanchez, Philippe Drecq, Luc Bromagne, Jean-Michel Flagothier, Stéphane Auberghen"
Umimachi Diary,Hirokazu Koreeda,"Haruka Ayase, Masami Nagasawa, Kaho, Suzu Hirose, Ryô Kase, Ryohei Suzuki, Takafumi Ikeda, Kentarô Sakaguchi, Ôshirô Maeda, Midoriko Kimura, Yûko Nakamura, Jun Fubuki, Kazuaki Shimizu, Kaoru Hirata, Shin'ichi Tsutsumi, Masumi Nomura, Shinobu Ôtake, Fight Seki"
Remember,Atom Egoyan,"Christopher Plummer, Kim Roberts, Amanda Smith, Martin Landau, Sean Francis, Howard Jerome, Henry Czerny, T.J. McGibbon, Liza Balkan, Mark Fisher, Michael Koras, Peter DaCunha, Daniel Kash, Duane Murray, Patrick Haye, James Cade, Sugith Varughese, Mary Walsh"
Berserk: Ougon Jidai-hen I - Haou no Tamago,Toshiyuki Kubooka,"Hiroaki Iwanaga, Carrie Keranen, Takahiro Sakurai, Kevin T. Collins, Toa Yukinari, Yûki Kaji, Yoshiro Matsumoto, Minako Kotobuki, Takahiro Fujiwara, Kazuki Yao, Aki Toyosaki, Kenta Miyake, Nobuyuki Katsube, Rikiya Koyama, Hiroshi Arikawa, Hôchû Ôtsuka, Kendô Kobayashi, Shingo Egami"
Husbands and Wives,Woody Allen,"Woody Allen, Mia Farrow, Sydney Pollack, Judy Davis, Nick Metropolis, Jeffrey Kurland, Bruce Jay Friedman, Cristi Conaway, Timothy Jerome, Rebecca Glenn, Juliette Lewis, Galaxy Craze, Lysette Anthony, Benno Schmidt, John Doumanian, Gordon Rigsby, Liam Neeson, Ilene Blackman"
Neru,Jeethu Joseph,"Mohanlal, Siddique, Santhi Mayadevi, Abraham Jacob, Priyamani, Jagadish, Anaswara Rajan, Sreedhanya, Sankar Induchoodan, Ganesh Kumar, Haritha G. Nair, Mathew Varghese, Prashant Nair, Resmi Anil, Krishna Prabha, Kalesh Ramanand, Nandhu, Dinesh Prabhakar"
Jui kuen II,"Chia-Liang Liu, Jackie Chan","Jackie Chan, Ho-Sung Pak, Lung Ti, Anita Mui, Felix Wong, Chia-Liang Liu, Wai-Kwong Lo, Kar Lok Chin, Chi-Kwong Cheung, Yi-Sheng Han, Andy Lau, Wing-Fong Ho, Kar-Yung Lau, Siu-Ming Lau, Suki Kwan, Yvonne Hung Yung, Wai Yee Chan, Shing Wong"
Revanche,Götz Spielmann,"Johannes Krisch, Irina Potapenko, Andreas Lust, Ursula Strauss, Johannes Thanheiser, Hanno Pöschl, Magdalena Kropiunig, Toni Slama, Elisabetha Pejcinoska, Aniko Bärkanyi, Annamaria Haytö, Nicoletta Prokes, Rainer Gradischnig, Haris Bilajbegovic, Aleksander Reljic-Bohigas, Michael-Joachim Heiss, Günther Laha, Max Schmiedl"
Lenny,Bob Fosse,"Dustin Hoffman, Valerie Perrine, Jan Miner, Stanley Beck, Frankie Man, Rashel Novikoff, Gary Morton, Guy Rennie, Michele Yonge, Kathryn Witt, Monroe Myers, John DiSanti, Mickey Gatlin, Martin Begley, Mark Harris, Richard Friedman, Lee Sandman, Jack Nagle"
No se aceptan devoluciones,Eugenio Derbez,"Eugenio Derbez, Karla Souza, Jessica Lindsey, Loreto Peralta, Andrés Vázquez, Hugo Stiglitz, Leia Freitas, Ángela Moreno, Gilda Gentile, Nancy Taira, Sammy Pérez, Arcelia Ramírez, Agustín Bernal, Gregg Lucas, Roger Cudney, Migael Penix, Daniel Raymont, Alenka Rios"
All the Beauty and the Bloodshed,Laura Poitras,"Nan Goldin, David Velasco, Megan Kapler, Marina Berio, Noemi Bonazzi, Patrick Radden Keefe, Harry Cullen, Robert Suarez, Alexis Pleus, Darryl Pinckney, Annatina Miescher, Mike Quinn, David Sackler, Theresa Sackler, Robert Drain, Richard Sackler, David Armstrong, Bruce Balboni"
Europa,Lars von Trier,"Barbara Sukowa, Jean-Marc Barr, Udo Kier, Ernst-Hugo Järegård, Erik Mørk, Jørgen Reenberg, Henning Jensen, Eddie Constantine, Max von Sydow, Benny Poulsen, Erno Müller, Dietrich Kuhlbrodt, Michael Phillip Simpson, Holger Perfort, Anne Werner Thomsen, Hardy Rafn, Cæcilia Holbek Trier, János Herskó"
Flickering Lights,Anders Thomas Jensen,"Søren Pilmark, Ulrich Thomsen, Mads Mikkelsen, Nikolaj Lie Kaas, Sofie Gråbøl, Iben Hjejle, Frits Helmuth, Ole Thestrup, Peter Andersson, Niels Anders Thorn, Henning Jensen, Solbjørg Højfeldt, Jesper Asholt, Helle Dolleris, Bent Mejding, Karen-Lise Mynster, Helle Virkner, Max Hansen"
The Flight of the Phoenix,Robert Aldrich,"James Stewart, Richard Attenborough, Peter Finch, Hardy Krüger, Ernest Borgnine, Ian Bannen, Ronald Fraser, Christian Marquand, Dan Duryea, George Kennedy, Gabriele Tinti, Alex Montoya, Peter Bravos, William Aldrich, Barrie Chase, Chris Alcaide, Stanley Ralph Ross"
The Naked City,Jules Dassin,"Barry Fitzgerald, Howard Duff, Dorothy Hart, Don Taylor, Frank Conroy, Ted de Corsia, House Jameson, Anne Sargent, Adelaide Klein, Grover Burgess, Tom Pedi, Enid Markey, Mark Hellinger, Jean Adair, Celia Adler, Janie Alexander, Joyce Allen, Beverly Bayne"
Le conseguenze dell'amore,Paolo Sorrentino,"Toni Servillo, Olivia Magnani, Adriano Giannini, Antonio Ballerio, Gianna Paola Scaffidi, Nino D'Agata, Vincenzo Vitagliano, Diego Ribon, Gilberto Idonea, Giselda Volodi, Giovanni Vettorazzo, Gaetano Bruno, Ana Valeria Dini, Vittorio Di Prima, Angela Goodwin, Raffaele Pisu, Pietro Manigrasso, Rolando Ravello"
Support Your Local Sheriff!,Burt Kennedy,"James Garner, Joan Hackett, Walter Brennan, Harry Morgan, Jack Elam, Henry Jones, Bruce Dern, Willis Bouchey, Gene Evans, Walter Burke, Dick Peabody, Chubby Johnson, Kathleen Freeman, Dick Haynes, Richard Alden, Robert Anderson, Bill Borzage, Danny Borzage"
Chup,R Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt, Amitabh Bachchan, Saranya Ponvannan, Bipin Nadkarni, Rajeev Ravindranathan, Adhyayan Suman, Pyarali Nayani, Veenu Khatri, Dhruv Lohumi, Pravishi Das, Nilesh Ranade, Amit Chakrabarty, Dhanesh Dogra, Zahir Mirza, Riya Malhotra"
How to Steal a Million,William Wyler,"Audrey Hepburn, Peter O'Toole, Eli Wallach, Hugh Griffith, Charles Boyer, Fernand Gravey, Marcel Dalio, Jacques Marin, Moustache, Roger Tréville, Edward Malin, Bert Bertram, Georg Stanford Brown, Louise Chevalier, Rémy Longa, Pierre Mirat, Jacques Ramade, Olga Valéry"
"Suddenly, Last Summer",Joseph L. Mankiewicz,"Elizabeth Taylor, Katharine Hepburn, Montgomery Clift, Albert Dekker, Mercedes McCambridge, Gary Raymond, Mavis Villiers, Patricia Marmont, Joan Young, Maria Britneva, Sheila Robins, David Cameron, Erik Chitty, Grace Denbeigh-Russell, Brenda Dunrich, Eddie Fisher, Anthony Lang, Aileen Lewis"
Lilies of the Field,Ralph Nelson,"Sidney Poitier, Lilia Skala, Lisa Mann, Isa Crino, Francesca Jarvis, Pamela Branch, Stanley Adams, Dan Frazer, Bobby Driscoll, Ralph Nelson"
Evangelion Shin Gekijôban: Jo,"Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuriko Yamaguchi, Akira Ishida, Fumihiko Tachiki, Motomu Kiyokawa, Miki Nagasawa, Takehito Koyasu, Hiro Yûki, Tomokazu Seki, Tetsuya Iwanaga, Junko Iwao, Mugihito, Akiko Hiramatsu, Mitsuaki Madono, Eiji Maruyama, Shin'ichirô Miki"
La tortue rouge,Michael Dudok de Wit,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers, Barbara Beretta, Maud Brethenoux, Mickaël Dumoussaud, Elie Tertois"
All About Lily Chou-Chou,Shunji Iwai,"Hayato Ichihara, Shûgo Oshinari, Ayumi Ito, Takao Osawa, Miwako Ichikawa, Izumi Inamori, Yû Aoi, Kazusa Matsuda, Ryô Katsuji, Chiyo Abe, Takako Baba, Anri Ban, Kaori Fujii, Shinji Higuchi, Takahito Hosoyamada, Hayato Isohata, Yuki Ito, Tomohiro Kaku"
The Blue Caftan,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui, Mounia Lamkimel, Abdelhamid Zoughi, Zakaria Atifi, Fatima Hilal, Mariam Lalouaz, Kholoud El Ouehabi, Amira Tiouli, Hanaa Laidi, Aymane El Oarrari, Ilyass El Ouahdani, Fouzia Ejjawi, Mohamed Naimane, Mohamed Tahri Joutey Hassani, Abdellah Lebkiri, Driss Diouri"
J'ai Perdu Mon Corps,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Alfonso Arfi, Hichem Mesbah, Myriam Loucif, Bellamine Abdelmalek, Maud Le Guenedal, Nicole Favart, Quentin Baillot, Céline Ronté, Deborah Grall, Pascal Rocher, Bruno Hausler, Jocelyn Veluire, Raymond Hosni, Guillaume Desmarchellier, Brooke Burgstahler"
The Namesake,Mira Nair,"Kal Penn, Irrfan Khan, Tabu, Jacinda Barrett, Zuleikha Robinson, Brooke Smith, Sahira Nair, Jagannath Guha, Ruma Guha Thakurta, Sandip Deb, Sukanya, Tanushree Shankar, Sabyasachi Chakrabarty, Tamal Ray Chowdhury, Dhruv Mookerji, Supriya Choudhury, Stuart Rudin, Heather MacRae"
Sånger från andra våningen,Roy Andersson,"Lars Nordh, Stefan Larsson, Bengt C.W. Carlsson, Torbjörn Fahlström, Sten Andersson, Rolando Núñez, Lucio Vucina, Per Jörnelius, Peter Roth, Klas-Gösta Olsson, Nils-Åke Eriksson, Hanna Eriksson, Tommy Johansson, Sture Olsson, Fredrik Sjögren, Stephen Whitton, Jöran Mueller, Eva Stenfelt"
Sunshine,István Szabó,"Ralph Fiennes, Rosemary Harris, Rachel Weisz, Jennifer Ehle, Deborah Kara Unger, Molly Parker, James Frain, David de Keyser, John Neville, Miriam Margolyes, Rüdiger Vogler, Mark Strong, Bill Paterson, Trevor Peacock, Hanns Zischler, Mari Törőcsik, Katja Studt, Péter Andorai"
Sudden Fear,David Miller,"Joan Crawford, Jack Palance, Gloria Grahame, Bruce Bennett, Virginia Huston, Mike Connors, Rodney Bell, Lulu Mae Bohrman, George Chan, Estelle Etterre, Bess Flowers, Sam Harris, Taylor Holmes, Selmer Jackson, Lewis Martin, Harold Miller, Ewing Mitchell, Arthur Space"
Swept Away,Lina Wertmüller,"Giancarlo Giannini, Mariangela Melato, Riccardo Salvino, Isa Danieli, Aldo Puglisi, Anna Melita, Giuseppe Durini, Lucrezia De Domizio, Luis Suárez, Vittorio Fanfoni, Lorenzo Piani, Eros Pagni"
Burning Days,Emin Alper,"Selahattin Pasali, Ekin Koç, Erol Babaoglu, Erdem Senocak, Selin Yeninci, Sinan Demirer, Nizam Namidar, Ali Seçkiner Alici, Eylül Ersöz, Onur Gürçay, Mehmet Kervanci, Hatice Aslan, Gönenç Acaroglu, Emin Alper, Salih Aydin, Tuncay Demiras, Mustafa Elma, Enver Husrevoglu"
Dinner at Eight,George Cukor,"Marie Dressler, John Barrymore, Wallace Beery, Jean Harlow, Lionel Barrymore, Lee Tracy, Edmund Lowe, Billie Burke, Madge Evans, Jean Hersholt, Karen Morley, Louise Closser Hale, Phillips Holmes, May Robson, Grant Mitchell, Phoebe Foster, Elizabeth Patterson, Hilda Vaughn"
Away from Her,Sarah Polley,"Julie Christie, Michael Murphy, Gordon Pinsent, Stacey LaBerge, Olympia Dukakis, Deanna Dezmari, Clare Coulter, Thomas Hauff, Alberta Watson, Grace Lynn Kung, Lili Francks, Andrew Moodie, Wendy Crewson, Judy Sinclair, Tom Harvey, Carolyn Hetherington, Melanie Merkosky, Kristen Thomson"
Charley Varrick,Don Siegel,"Walter Matthau, Joe Don Baker, Felicia Farr, Andrew Robinson, Sheree North, Norman Fell, Benson Fong, Woodrow Parfrey, William Schallert, Jacqueline Scott, Marjorie Bennett, Rudy Diaz, Colby Chester, Charlie Briggs, Priscilla Garcia, Scott Hale, Charles Matthau, Hope Summers"
Frantz,François Ozon,"Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber, Johann von Bülow, Anton von Lucke, Cyrielle Clair, Alice de Lencquesaing, Axel Wandtke, Rainer Egger, Johannes Silberschneider, Rainer Silberschneider, Merlin Rose, Ralf Dittrich, Michael Witte, Lutz Blochberger, Jeanne Ferron, Torsten Michaelis"
Golmaal: Fun Unlimited,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Rimi Sen, Paresh Rawal, Sushmita Mukherjee, Vrajesh Hirjee, Mukesh Tiwari, Sanjay Mishra, Siddharth Jadhav, Manoj Joshi, Farid Amiri, Nirali's Flatmate, Aaryan Harnot, Ashish R. Mohan, Anupam Shyam, Raminder Singh Suri"
Blue Collar,Paul Schrader,"Richard Pryor, Harvey Keitel, Yaphet Kotto, Ed Begley Jr., Harry Bellaver, George Memmoli, Lucy Saroyan, Lane Smith, Cliff De Young, Borah Silver, Chip Fields, Harry Northup, Leonard Gaines, Milton Selzer, Sammy Warren, Jimmy Martinez, Jerry Dahlmann, Denny Arnold"
Cyrano de Bergerac,Jean-Paul Rappeneau,"Gérard Depardieu, Anne Brochet, Vincent Perez, Jacques Weber, Roland Bertin, Philippe Morier-Genoud, Pierre Maguelon, Josiane Stoléru, Anatole Delalande, Alain Rimoux, Philippe Volter, Jean-Marie Winling, Louis Navarre, Gabriel Monnet, François Marié, Pierre Triboulet, Baptiste Roussillon, Christian Roy"
The Bitter Tears of Petra Von Kant,Rainer Werner Fassbinder,"Margit Carstensen, Hanna Schygulla, Katrin Schaake, Eva Mattes, Gisela Fackeldey, Irm Hermann"
